iter	Passed	Remaining
463	750	867
464	751	864
465	752	862
466	753	859
467	753	856
468	754	854
469	755	851
470	755	849
471	756	846
472	757	843
473	758	841
474	758	838
475	761	838
476	763	837
477	764	835
478	765	832
479	766	830
480	767	828
481	769	826
482	770	825
483	772	823
484	773	820
485	773	818
486	779	820
487	781	819
488	782	817
489	783	815
490	785	814
491	787	813
492	789	811
493	793	812
494	795	811
495	796	808
496	796	806
497	798	804
498	800	803
499	801	801
500	802	799
501	807	800
502	810	800
503	811	798
504	813	796
505	814	795
506	817	795
507	822	796
508	825	795
509	827	794
510	828	792
511	829	790
512	831	789
513	832	787
514	835	786
515	837	785
516	839	783
517	842	784
518	844	782
519	845	780
520	846	777
521	847	775
522	847	773
523	848	770
524	849	768
525	852	768
526	854	766
527	855	764
528	856	762
529	857	760
530	858	757
531	859	755
532	860	753
533	861	751
534	861	749
535	862	746
536	863	744
537	864	742
538	867	741
539	869	740
540	870	738
541	871	736
542	872	733
543	872	731
544	873	729
545	875	727
546	875	725
547	876	723
548	877	720
549	878	718
550	878	716
551	879	713
552	882	713
553	884	712
554	885	710
555	886	708
556	887	705
557	888	703
558	889	701
559	890	699
560	891	697
561	892	695
562	892	693
563	893	690
564	894	688
565	897	687
566	899	686
567	900	684
568	901	682
569	902	680
570	903	678
571	904	676
572	905	674
573	905	672
574	906	670
575	907	668
576	908	666
577	909	663
578	910	661
579	913	661
580	914	659
581	915	657
582	916	655
583	917	653
584	918	651
585	918	649
586	919	647
587	920	645
588	921	643
589	922	641
590	923	638
591	923	636
592	925	634
593	928	634
594	929	632
595	930	630
596	931	628
597	932	626
598	933	624
599	934	622
600	935	620
601	936	618
602	936	616
603	937	614
604	938	612
605	940	611
606	942	610
607	943	608
608	944	606
609	945	604
610	946	602
611	947	600
612	948	598
613	949	596
614	950	594
615	951	592
616	952	590
617	953	589
618	957	589
619	958	587
620	959	585
621	960	583
622	961	581
623	961	579
624	962	577
625	963	575
626	964	574
627	965	572
628	966	570
629	967	568
630	971	568
631	972	566
632	973	564
633	974	562
634	975	560
635	976	558
636	977	557
637	978	555
638	979	553
639	980	551
640	981	549
641	982	547
642	985	547
643	987	545
644	988	544
645	989	542
646	990	540
647	990	538
648	991	536
649	993	534
650	993	532
651	994	530
652	995	528
653	996	526
654	996	524
655	999	524
656	1001	522
657	1002	521
658	1003	519
659	1004	517
660	1005	515
661	1006	513
662	1007	511
663	1007	510
664	1008	508
665	1009	506
666	1010	504
667	1011	502
668	1013	501
669	1015	500
670	1016	498
671	1017	496
672	1018	494
673	1019	492
674	1019	490
675	1020	489
676	1021	487
677	1021	485
678	1022	483
679	1023	481
680	1023	479
681	1024	477
682	1025	475
683	1025	473
684	1027	472
685	1029	471
686	1030	469
687	1031	467
688	1032	465
689	1033	464
690	1034	462
691	1035	460
692	1036	459
693	1036	457
694	1037	455
695	1038	453
696	1038	451
697	1039	449
698	1040	447
699	1041	446
700	1043	445
701	1045	443
702	1046	442
703	1047	440
704	1048	438
705	1049	436
706	1050	435
707	1050	433
708	1051	431
709	1054	430
710	1055	429
711	1059	428
712	1061	427
713	1063	426
714	1065	424
715	1066	423
716	1068	421
717	1069	419
718	1070	418
719	1074	417
720	1076	416
721	1078	415
722	1079	413
723	1081	412
724	1082	410
725	1084	409
726	1086	407
727	1091	407
728	1092	406
729	1094	404
730	1095	403
731	1097	401
732	1098	400
733	1100	398
734	1104	398
735	1105	396
736	1107	395
737	1108	393
738	1109	391
739	1110	390
740	1116	390
741	1119	389
742	1121	387
743	1123	386
744	1124	384
745	1128	384
746	1132	383
747	1135	382
748	1137	381
749	1139	379
750	1141	378
751	1144	377
752	1147	376
753	1149	375
754	1152	374
755	1154	372
756	1155	371
757	1157	369
758	1159	368
759	1160	366
760	1167	366
761	1169	365
762	1170	363
763	1171	361
764	1173	360
765	1174	358
766	1176	357
767	1179	356
768	1182	355
769	1183	353
770	1185	352
771	1187	350
772	1188	349
773	1189	347
774	1192	346
775	1195	345
776	1197	343
777	1198	342
778	1199	340
779	1202	339
780	1205	338
781	1216	339
782	1217	337
783	1219	336
784	1221	334
785	1222	332
786	1228	332
787	1231	331
788	1234	330
789	1235	328
790	1236	326
791	1237	325
792	1241	324
793	1244	322
794	1245	321
795	1246	319
796	1247	317
797	1248	315
798	1249	314
799	1250	312
800	1251	310
801	1252	309
802	1253	307
803	1257	306
804	1260	305
805	1261	303
806	1263	302
807	1264	300
808	1265	298
809	1266	297
810	1267	295
811	1268	293
812	1271	292
813	1273	290
814	1274	289
815	1275	287
816	1276	285
817	1277	284
818	1278	282
819	1279	280
820	1280	279
821	1281	277
822	1281	275
823	1282	273
824	1283	272
825	1283	270
826	1286	269
827	1288	267
828	1290	266
829	1290	264
830	1291	262
831	1292	261
832	1294	259
833	1295	257
834	1295	256
835	1296	254
836	1297	252
837	1298	250
838	1298	249
839	1300	247
840	1302	246
841	1304	244
842	1305	243
843	1305	241
844	1306	239
845	1307	238
846	1308	236
847	1309	234
848	1310	233
849	1310	231
850	1311	229
851	1312	227
852	1313	226
853	1316	225
854	1318	223
855	1319	222
856	1320	220
857	1321	218
858	1322	217
859	1323	215
860	1324	213
861	1325	212
862	1326	210
863	1326	208
864	1327	207
865	1328	205
866	1331	204
867	1333	202
868	1334	201
869	1335	199
870	1336	197
871	1337	196
872	1338	194
873	1339	193
874	1340	191
875	1341	189
876	1342	188
877	1343	186
878	1343	184
879	1346	183
880	1348	182
881	1349	180
882	1350	178
883	1351	177
884	1352	175
885	1353	174
886	1353	172
887	1354	170
888	1355	169
889	1356	167
890	1356	165
891	1357	164
892	1358	162
893	1359	161
894	1360	159
895	1362	158
896	1364	156
897	1365	155
898	1366	153
899	1367	151
900	1368	150
901	1369	148
902	1370	147
903	1371	145
904	1372	144
905	1373	142
906	1374	140
907	1377	139
908	1379	138
909	1380	136
910	1381	134
911	1382	133
912	1383	131
913	1384	130
914	1384	128
915	1385	127
916	1386	125
917	1387	123
918	1387	122
919	1390	120
920	1392	119
921	1393	117
922	1394	116
923	1395	114
924	1396	113
925	1396	111
926	1397	110
927	1398	108
928	1399	106
929	1399	105
930	1400	103
931	1401	102
932	1402	100
933	1402	99
934	1406	97
935	1408	96
936	1409	94
937	1410	93
938	1411	91
939	1411	90
940	1412	88
941	1413	87
942	1414	85
943	1414	83
944	1415	82
945	1416	80
946	1416	79
947	1417	77
948	1419	76
949	1421	74
950	1422	73
951	1423	71
952	1424	70
953	1425	68
954	1426	67
955	1428	65
956	1428	64
957	1429	62
958	1430	61
959	1431	59
960	1431	58
961	1432	56
962	1437	55
963	1438	53
964	1439	52
965	1440	50
966	1441	49
967	1442	47
968	1443	46
969	1443	44
970	1444	43
971	1445	41
972	1446	40
973	1446	38
974	1447	37
975	1448	35
976	1451	34
977	1452	32
978	1453	31
979	1454	29
980	1455	28
981	1456	26
982	1457	25
983	1458	23
984	1458	22
985	1459	20
986	1460	19
987	1460	17
988	1461	16
989	1462	14
990	1465	13
991	1467	11
992	1468	10
993	1469	8
994	1470	7
995	1471	5
996	1472	4
997	1472	2
998	1473	1
999	1474	0
